"","Id","10th","25th","75th","90th","Mean","Prob_Smooth"
"7",100123,0.00392156862745098,0.00784313725490196,0.0313725490196078,0.0745098039215686,0.0374290196078431,0.462492
"12",100157,0.00392156862745098,0.00392156862745098,0.0235294117647059,0.0392156862745098,0.0260533333333333,0.330462
"13",100187,0,0.00392156862745098,0.0156862745098039,0.0313725490196078,0.0218164705882353,0.448521
"15",100237,0.00392156862745098,0.00784313725490196,0.0235294117647059,0.0392156862745098,0.0290713725490196,0.164391
"19",100295,0.00392156862745098,0.00784313725490196,0.0392156862745098,0.101960784313725,0.0451435294117647,0.742621
"23",100380,0.00392156862745098,0.00784313725490196,0.0235294117647059,0.0392156862745098,0.0250447058823529,0.03
"25",100383,0,0.00392156862745098,0.0196078431372549,0.0470588235294118,0.0262870588235294,0.3053
"26",100402,0.00392156862745098,0.0117647058823529,0.0431372549019608,0.0980392156862745,0.0501458823529412,0.61
"27",100428,0.00392156862745098,0.00784313725490196,0.0313725490196078,0.0549019607843137,0.0301098039215686,0.715291
"32",100474,0.0156862745098039,0.0313725490196078,0.164705882352941,0.313725490196078,0.121593725490196,0.201416
"33",100479,0.00392156862745098,0.00392156862745098,0.0352941176470588,0.117647058823529,0.0457490196078431,0.841554
"37",100541,0.00392156862745098,0.0117647058823529,0.0431372549019608,0.0784313725490196,0.0430603921568627,0.445052
"42",100672,0.00392156862745098,0.00784313725490196,0.0313725490196078,0.0592156862745094,0.0336,0.931725
"45",100727,0.00392156862745098,0.00784313725490196,0.0352941176470588,0.0588235294117647,0.0307105882352941,0.816171
"48",100744,0.00784313725490196,0.0156862745098039,0.0549019607843137,0.113725490196078,0.0550101960784314,0.688286
"51",100801,0.00392156862745098,0.00784313725490196,0.0352941176470588,0.0784313725490196,0.0409411764705882,0.034997
"52",100813,0.00392156862745098,0.00784313725490196,0.0352941176470588,0.0784313725490196,0.0381725490196078,0.017011
"53",100821,0.00392156862745098,0.0117647058823529,0.0313725490196078,0.0470588235294118,0.0288878431372549,0.05774
"55",100836,0.00392156862745098,0.0117647058823529,0.0352941176470588,0.0588235294117647,0.0357082352941176,0.418589
"56",100852,0.00392156862745098,0.00784313725490196,0.0392156862745098,0.0941176470588235,0.0528235294117647,0.727389
"57",100859,0.00392156862745098,0.00784313725490196,0.0274509803921569,0.0509803921568627,0.0305490196078431,0
"63",100951,0.00392156862745098,0.00392156862745098,0.0196078431372549,0.0431372549019608,0.0315811764705882,0.065374
"64",100986,0.00392156862745098,0.00784313725490196,0.0313725490196078,0.0588235294117647,0.0388078431372549,0.475139
"65",101007,0.00392156862745098,0.00784313725490196,0.0352941176470588,0.0784313725490196,0.0433678431372549,0.077166
"66",101061,0.00392156862745098,0.00784313725490196,0.0352941176470588,0.12156862745098,0.0489458823529412,0.745385
"68",101092,0.00784313725490196,0.0156862745098039,0.0470588235294118,0.0705882352941176,0.039683137254902,0.870043
"73",101151,0.00392156862745098,0.0117647058823529,0.0352941176470588,0.0784313725490196,0.0395356862745098,0.644645
"77",101232,0.00784313725490196,0.0156862745098039,0.0509803921568627,0.125490196078431,0.0573066666666667,0.240397
"78",101239,0.00392156862745098,0.00784313725490196,0.0392156862745098,0.14156862745098,0.0560470588235294,0.225396
"81",101247,0.00392156862745098,0.00784313725490196,0.0313725490196078,0.0705882352941176,0.0364486274509804,0.781271
"83",101275,0.00392156862745098,0.00784313725490196,0.0313725490196078,0.0549019607843137,0.0352501960784314,0.092841
"93",101324,0.00784313725490196,0.0117647058823529,0.0392156862745098,0.0627450980392157,0.0402211764705882,0.444025
"96",101358,0.00392156862745098,0.00784313725490196,0.0274509803921569,0.0470588235294118,0.0317866666666667,0.385622
"98",101374,0.00392156862745098,0.00784313725490196,0.0274509803921569,0.0431372549019608,0.0273678431372549,0.257273
"99",101375,0.00392156862745098,0.00784313725490196,0.0352941176470588,0.0862745098039216,0.0374352941176471,0.394491
"103",101501,0.00392156862745098,0.00784313725490196,0.0274509803921569,0.0509803921568627,0.0292376470588235,0.169743
"105",101518,0.00392156862745098,0.0117647058823529,0.0431372549019608,0.0980392156862745,0.0441396078431373,0.758468
"110",101564,0.00392156862745098,0.00392156862745098,0.0235294117647059,0.0431372549019608,0.0268580392156863,0.205444
"113",101591,0.00392156862745098,0.0117647058823529,0.0509803921568627,0.133725490196078,0.057758431372549,0.335298
"114",101595,0.00392156862745098,0.00392156862745098,0.0235294117647059,0.0352941176470588,0.0212878431372549,0.137009
"115",101597,0.00392156862745098,0.0117647058823529,0.0745098039215686,0.172549019607843,0.0658462745098039,0.606589
"117",101623,0.00392156862745098,0.00784313725490196,0.0274509803921569,0.0470588235294118,0.0285035294117647,0.860377
"118",101627,0.00392156862745098,0.0117647058823529,0.0588235294117647,0.137254901960784,0.0584141176470588,0.913527
"120",101654,0.00392156862745098,0.0117647058823529,0.0549019607843137,0.141176470588235,0.0544501960784314,0.570972
"121",101660,0,0.00392156862745098,0.0235294117647059,0.0470588235294118,0.0245788235294118,0.171583
"124",101695,0.00392156862745098,0.00392156862745098,0.0274509803921569,0.0588235294117647,0.0356705882352941,0.795754
"125",101701,0.00392156862745098,0.00392156862745098,0.0235294117647059,0.0470588235294118,0.027438431372549,0.254054
"129",101762,0,0.00392156862745098,0.0235294117647059,0.0470588235294118,0.0254901960784314,0.437887
"130",101774,0.00392156862745098,0.0117647058823529,0.0392156862745098,0.0588235294117647,0.0375890196078431,0.156509
"131",101787,0,0.00392156862745098,0.0196078431372549,0.0313725490196078,0.0249113725490196,0.113089
"132",101788,0.00392156862745098,0.0117647058823529,0.0470588235294118,0.0980392156862745,0.0511560784313725,0.338838
"136",101816,0.00392156862745098,0.0117647058823529,0.0470588235294118,0.133333333333333,0.0529396078431373,0.78041
"137",101848,0.00392156862745098,0.00784313725490196,0.0274509803921569,0.0431372549019608,0.0280674509803922,0.171238
"139",101858,0.00392156862745098,0.00392156862745098,0.0274509803921569,0.0470588235294118,0.0289709803921569,0.948216
"141",101893,0.00392156862745098,0.00784313725490196,0.0274509803921569,0.0509803921568627,0.0327827450980392,0.133808
"143",101943,0.00392156862745098,0.00784313725490196,0.0392156862745098,0.0980392156862745,0.0431874509803922,0.855317
"146",101980,0,0.00392156862745098,0.0235294117647059,0.0745098039215686,0.0357145098039216,0.107162
"150",102000,0.00392156862745098,0.00784313725490196,0.0274509803921569,0.0509803921568627,0.0280705882352941,0.822
"151",102015,0.00392156862745098,0.00784313725490196,0.0705882352941176,0.180392156862745,0.0637349019607843,0.679525
"153",102027,0,0.00392156862745098,0.0235294117647059,0.0509803921568627,0.0354211764705882,0.416039
"154",102040,0.00392156862745098,0.0117647058823529,0.0313725490196078,0.0784313725490196,0.0438807843137255,0.025016
"155",102046,0.00392156862745098,0.00392156862745098,0.0274509803921569,0.0666666666666667,0.0306180392156863,0.104629
"156",102047,0.00392156862745098,0.00392156862745098,0.0274509803921569,0.0509803921568627,0.0294917647058824,0.485271
"157",102113,0.00392156862745098,0.00784313725490196,0.0235294117647059,0.0431372549019608,0.0231811764705882,0.199286
"160",102174,0.00392156862745098,0.0117647058823529,0.0470588235294118,0.0941176470588235,0.0508313725490196,0.558028
"162",102182,0.00392156862745098,0.00784313725490196,0.0392156862745098,0.0901960784313725,0.0393239215686274,0.921081
"163",102243,0.00392156862745098,0.00784313725490196,0.0274509803921569,0.0509803921568627,0.0308470588235294,0
"168",102347,0.00392156862745098,0.00784313725490196,0.0549019607843137,0.196078431372549,0.0609866666666667,0.588103
"169",102371,0.00392156862745098,0.0156862745098039,0.0588235294117647,0.12156862745098,0.0560298039215686,0.754986
"170",102391,0,0.00392156862745098,0.0156862745098039,0.0352941176470588,0.0196674509803922,0.229132
"172",102406,0.00392156862745098,0.00392156862745098,0.0235294117647059,0.0392156862745098,0.0245662745098039,0.119271
"173",102407,0,0.00392156862745098,0.0156862745098039,0.0313725490196078,0.0210901960784314,0.04231
"174",102422,0.00392156862745098,0.00784313725490196,0.0274509803921569,0.0509803921568627,0.0295325490196078,0.008077
"175",102433,0.00392156862745098,0.00392156862745098,0.0196078431372549,0.0431372549019608,0.027596862745098,0.007049
"177",102474,0.00392156862745098,0.0117647058823529,0.0941176470588235,0.192156862745098,0.0682086274509804,0.013761
"179",102513,0.00392156862745098,0.0117647058823529,0.0509803921568627,0.152941176470588,0.0555011764705882,0.846341
"180",102556,0.00392156862745098,0.0117647058823529,0.0352941176470588,0.0549019607843137,0.0288282352941176,0.620074
"181",102595,0.00392156862745098,0.00784313725490196,0.0392156862745098,0.118039215686274,0.0527545098039216,0.12269
"182",102602,0.00392156862745098,0.00784313725490196,0.0392156862745098,0.0862745098039216,0.0398196078431373,0.824734
"183",102616,0.00392156862745098,0.00784313725490196,0.0352941176470588,0.0588235294117647,0.0310541176470588,0.592219
"185",102649,0.00392156862745098,0.00784313725490196,0.0313725490196078,0.0666666666666667,0.0437380392156863,0.486956
"186",102657,0.00392156862745098,0.00784313725490196,0.0235294117647059,0.0431372549019608,0.0254870588235294,0.216443
